RT @JarrodTheLord: Yall creating life and cloning animals but want us to believe there is no cure for Cancer or Aids... alright https://t.c…	no
RT @TommySobiesski: you could give GameStop the cure to cancer &amp; they’d offer you $3.89 https://t.co/REjIez4G7D	no
This last year has been the hardest of my life - to all the cancer researchers, doctors, nurses and caregivers who are so selflessly dedicated to finding a cure and healing patients, you are my heroes and I am grateful for the hope and strength you continue to give me &amp; my family	no
The year is 2043. You opened your newspaper and read the headlines-  - World Health Organization releases a cure for Cancer. - Global warming threat- eliminated!  - Enrile celebrating his birthday. - Penguins can fly.  .. and you've never been so happy.	no
RT @gorskon: Here we go again. Yet another dubious cancer cure video. Watch to the end and see! https://t.co/JObs8QeYiS	no
So sick of festival kids fingering themselves with amethyst and wearing 10 pashimas thinking they're hippies. Real hippies would get together and cure cancer instead of spending $600 to stand around in a field and fuck each other on acid. Go feed the homeless if ur such a hippie	no
Protect us ya RABBI from CANCER and cure those afflicted by this sickness 😫💔....  Make it possible for the medical practitioners to find the cure for CANCER ya ALLAH 🙏🙏🙏🙏	no
Paul Pogba could dribble past four players, cure cancer, find life on another planet, and score a banger from 35 yards all in a single gif and football twitter would say LMAOOO what’s special about this	no
What if we aborted the first female President, or the person who was to cure cancer? Liberals claim to value each individual person, their story and their contributions, while actively leading children to the slaughter.  #ScotusPick	no
Yesterday the #Democrats cried #FamiliesBelongTogther. Today, they’re over that &amp; now they don’t want anyone who broke the law 2 be detained. #WakeUpAmerica, their want #OpenBorders. The @POTUS can cure cancer and they’d cry pro cancer cells. #LiberalismIsAMentalDisorder #VoteRed https://t.co/22TUxg3IWR	no
As people’s anger boils over in the streets there are talks that the Rouhani government should resign. But you do not cure cancer with an aspirin. The tumor needs to be removed- - and tumor is IRI and the surgeons are the people.	yes
Trans surgeries are RECONSTRUCTIVE, not cosmetic. The same way a mastectomy + implants for a breast cancer patient is reconstructive. It's not to look better, it's to cure something. Wild that some people still don't understand that and fight against insurances covering them	no
jisung: *invents flying cars, finds the cure to cancer, ends homophobia*  stray kids: cool  jeongin: *breathes*  stray kids: UWU YES BBY UR SO PRECIOUS AND TALENTED AND IF WE COULD ONLY TELL THE WORLD HOW MUCH YOU MEAN TO US	no
The sickness which has infected the minds of weak Liberals is spreading like a cancer. We MUST find a cure and eradicate the liberal stench on our planet for the good of all humanity. When you hit rock bottom, you will find people like Michelle Wolf there. https://t.co/rdbjqgYO5R	no
Peacock tears get eggs.  Eating Mangoes get babies. Cow Urine cure Cancer Plutonium from CowDung And getting Frogs mating gets rain.   Biological and Zoological studies under Nagpur Whatsapp University is taking a new turn in World Science.. https://t.co/2BTVmLKBWX	yes
I am raising funds for my mother's treatments abroad to cure breast cancer in shaa Allaah. Please share and donate what is possible, may Allaah bless you all.   https://t.co/WruAarCxHZ	no
The Testes , Brain and Spinal Cord are what is known as sanctuary sites. Stuff like cancer and HIV can quickly run there to hide knowing fully well that chemotherapy and ARV find it difficult to reach there, making it's complete cure difficult. https://t.co/mTaP41wY6J	no
No matter what our president does, he will never get the credit he deserves. He could cure cancer, and everyone would say.. he should of been worrying about heart disease.   #TrumpKimSummit	no
❝ you are the state lottery,                the cure for cancer,         and the three wishes from                      Aladdin’s lamp all rolled into                                   one...❞  #CaratSelcaDay #17CaratSelcaDay #SEVENTEEN #JOSHUA @pledis_17 https://t.co/FQlnl6lLQx	no
Things like HIV just don't appear from Nowhere. These things are manufactured. And someone somewhere has a Cure for it. Despite the fact that Viral diseases are perceived to have no Cure. This is a Business. Even Cancer is a Business 🤷.	no
My face when I see how much money we’ve raised to find a cure for cancer!! I have some awesome fans that I really appreciate for supporting me! We’ve raised $17,155 and the new goal is now $20,000.. keep supporting s great cause https://t.co/q14jpnvaMf https://t.co/k56Nryd2CX	no
RT @BroHumors: 1965: "I bet there'll be flying cars and a cure for cancer in the future"	no
Listen. An isotope of uranium ore called Actinium -225 is a cure for cancer. Does NOT kill you like chemo only cancer cells.   Also, gold nanoparticles with ultrasound does too.   Retweet to help this guy know cures exist !!    #QAnon #MAGA  -HolisticDoctorFagAnon https://t.co/I4YZgTnFqE Dear fellow patriots, I need your prayers. I was diagnosed with lung cancer and tomorrow I find out what stage it is.. Im terrified. Thank you all	yes
RT @ashtonbirdie: Trump could literally cure leukemia and people would  protest just to say he’s sexist because he didn’t cure breast cance…	no
Watching a 29 year old woman with stage 4 ovarian cancer that had already metastasized in her brain and lungs, give her Pharma Dr.’s the 🖕and cure it with the Gerson Therapy and MMS. I was 21 when I saw this. https://t.co/nd6pBxoRFa	yes
Selena Gomez could find the cure for cancer and people would still hate on her saying shit like, she should've found it earlier y'all are some miserable ass trash human beings grow tf up	no
@iamsonalibendre Hope you know there are very effective treatments in India, where they use cow urine therapy and other natural ingredients to cure cancer...many people in last stages have been cured.. wish you recover soon! So i saw this woman advising Sonali Bendre who has recently been diagnosed with metastatic cancer to undergo cow urine therapy. WTF  And then i visit her profile to see Modi ji on cover page. Why didn't i guess this earlier  Cow urine..... Seriously https://t.co/hJJMOw73iT	yes
#OTD 37 years ago, Terry Fox passed away in New Westminister, BC. Speaking of his run, Fox said “I am not a dreamer, and I am not saying that this will initiate any kind of definitive answer or cure to cancer. But I believe in miracles. I have to.” Watch his #HeritageMinute here. https://t.co/OqonptqcsM	no
@Education4Libs Trump could cure cancer                     AND  The liberal backlash would be..  Yes, they are hypocritically that dumb. https://t.co/3XtSyqurrx	no
i just read that humans can perceive 1million hues while pigeons can see 10billion hues umm can scientists stop wasting time i don’t give a fuck about what colors a bird can see how about you cure cancer or make an app where we can reach through the screen and jerk each other off	no
The major demand for rhino horn is in Asia where it's used in ornamental carvings and traditional medicine. Rhino horn is touted as a cure for hangovers, cancer and impotence. Science has proven all this to be false. https://t.co/H1d371vpLr https://t.co/GjO6u38dxj	yes
RT @HealthRanger: The true cause and cure for cancer - must watch: https://t.co/m9squFKL4j #cancer #health	no
#Ayurveda_A_Panacea is the 'Mother of Healing'. St @Gurmeetramrahim Ji tells that the Ayurveda is the first scientific medical branch originated in India. And with the Yoga practices, it becomes a boon to cure cancer, kidney disorders, cardiac arrest, etc. https://t.co/vkJ1Uq8SOD	yes
RT @UberFacts: For decades, Hulda Regehr Clark claimed to have the cure for cancer and made millions of dollars. She died of cancer in 2009.	no
Woman drinks her dog's URINE in a horrifying video while claiming that it completely cleared up her acne - and can also 'help cure cancer' https://t.co/HmRRGOF86l	yes
Gentle reminder that there has been a “War on Cancer” since 1971 when they still didn’t understand how cancer worked, let alone the differences between over 100 types. There is no universal cancer cure that considers race, genetics, and mutations. This conspiracy needs to die	no
A Story deserve to be largely spread. Despite her suffering from the cancer disease and chemotherapy treatment the Palestinian “ Nada Iqshesh” from #Hebron city, exceeds in the high secondary school exams and get 96% cumulative rate . Congratulations 🎉 Nada May God cure you . https://t.co/ToV2kL8cdm	no
“Medical doctors and healthcare personnel alike are stymied by the miraculous cure which recently occurred to Michelle Aldrich who suffered from a deadly form of lung cancer at age 66.” She cured her cancer in 4 months using #cannabis. https://t.co/heKGffbrSx	yes
RT @cocozabriskie: It's so crazy bc the sun can like cure my depression and make me glow, but also give me cancer?¿? Talk about a two-faced…	no
@iamsonalibendre Hope you know there are very effective treatments in India, where they use cow urine therapy and other natural ingredients to cure cancer...many people in last stages have been cured.. wish you recover soon!	yes
No matter what Senator Bernie Sanders thinks, we are not all the same.  Some people like Stormy Daniels gets into porn while others work hard in school and go on to cure cancer.	no
When she wants a strong independent black man that’s over 7 foot with a college degree, good job, the cure for cancer, &amp; Timmy Turner’s mom and dad’s real name and you fit none of that description but you shoot your shot anyway. #Donnyism https://t.co/YlYyyf7k1o	no
Dejan Lovren could score 10 goals a season, lead Croatia to a WC win, win the Tour de France, cure f*king cancer and still there'll be a section of our supporters saying we need a replacement.	no
WOW!!! They're creating life without sperm and eggs, yet they want us to believe that there's no cure for Cancer/AIDS. 👏🏽👏🏽👏🏽 https://t.co/BoMIaVnOAT	no
Look @realDonaldTrump could cure cancer and the next day there would be columns by Jen Rubin, Nick Kristof &amp; Max Boot about the critical role cancer played in shaping our nation, and how Trump curing cancer is leading America to authoritarianism. It's getting old. #TrumpKimSummit	no
sure he raped a woman with a fork, nearly killed a man for being gay and was proud of it, pledged $100k to domestic violence charities &amp; then never gave a penny.... but what if had grown up to cure cancer? ever consider that? checkmate	no
@JarrodTheLord there's far more money in treating a disease than curing it. Why cure someone of cancer in a day? when you can treat them for a lifetime and bill them every step along the way -	no
Um... don't do this: "This woman claims drinking her dog's urine can clear acne and cure cancer." https://t.co/SxYPiVGISI Yep: "Urine is basically biological waste." #ApproachingMaxBunk? @DrJenGunter	yes
@UPSHelp my 4 month old son has terminal brain cancer &amp; his brain tissue was shipped to USC to try to develop a cure and its sitting in your Ontario, ca facility and no one will help me get it delivered It cant wait til Monday or it will be ruined. Please help @UPS	yes
FOR THE LOVE OF PETE!😡  I am staring think that Trump could cure cancer and the left would still find a way to put a negative spin on it.  AWESOME JOB MR. PRESIDENT👏👏  ‘Rocket Man’ 1, Trump 0: North Korea Keeps Its Nukes for Now https://t.co/jxaWTvtWi7	no
RT @StevStiffler: 1965: "I bet there'll be flying cars and a cure for cancer in the future"	no
Trump called Kim Jong Un Rocket Man  @CNN criticized him endlessly  Trump makes peace with Kim  @CNN can't stop criticizing Trump for making peace with a murderous dictator  He could bring world peace and cure cancer, CNN will find a way to hate him  #TuesdayThoughts	no
I firmly believe that a cure for cancer has been found but the government won’t allow it to be released bc it is too big of a money industry...and I think that is the saddest thing.	no
In recent years, a series of clinical trials have shaken up the cancer world, showing it is possible to better treat and even cure some of the most difficult forms of the disease without resorting to the most toxic techniques https://t.co/qhbUGlaC06 https://t.co/yghO3hK8jK	no
FACTS  NO one has PROVEN to grow+thicken human hair, cure acne, cancer or ANY illness or condition modern medical science has not.  Quacks are on social and other media for EGO and MONEY.  Quacks prey on anyone, some choosing a specific demographic, e.g. your kids. © @diomedes66 https://t.co/MrgMueqyEh	no
RT @homoposts: AND STILL NO CURE FOR CANCER AND HIV? https://t.co/X8Pl7yBUz7	no
Yet there’s no cure for Alzheimer’s,no preventatives for cancer , no edit button on Twitter .... and y’all tryna recreate  velociraptors 🤦🏽‍♀️ https://t.co/bAWsZX4KrP	no
I've advised 4000 cancer patients in 12yrs..I've seen most outcomes re side effects, prognosis, cure. My observations: Survival depends on early prognosis, tumour type,fast access to treatments &amp; trials and luck...kale, positive attitude &amp; Vit C will not cure. Nor will sugar kill https://t.co/ySn2C73xaN @campaignkate i was told that my "negativity" towards "positivity" would hasten my demise. And it was from someone who was undergoing cancer treatment.they denied that that statement was saying if you were "positive" it would help cure cancer. Charming person.	yes
Everyone that will please remember my family my grandfathers cancer has come back . If God can cure him one time he will do it again The Bible says the faith of a mustard seed can move mountains ⛰❤️ https://t.co/gmI5gf7aEv Yesterday in church my grandpa stood up and ask prayer for his cancer to be gone he went to the doctors today and he is cancer FREE !!!! Tell me God isn’t real 🙌🏼❤️ https://t.co/e4RKPJZytr	no
RT @ExandShadow: Nintendo could literally cure cancer today and if there's no Animal Crossing there would still be riots	no
@Devarshi_21 @sharma_jyo @MohitKu89856580 @swetasamadhiya @INDIA00541401 @INDIANISMIST @raghu500000 @Krishna333110 @SP_UMANG @me_Giezelle @surewrap @jyotsnavarma9 @ChakdeIndia11 @ragiing_bull @RakeshA12572734 @vera_anz @purushueme @ind_rajat92 @sureshraoayala1 @PremlataAsopa @rajbir2728 @pranjal_dureja @AbdulBarri4444 @gouranga1964 @SGauni @ar_jag84 @vel_jaya @BerretBlack @chittisarma18 @pksrivastava6 @borana_borana @wetwokrishna @debduttakolkata @sbhats @muralydoctrack1 @SUBRATSMSM @pkban @MODIJI_helpus @Bujji40397018 @shakun1931 @SharmaAnks08 @RaiBahadur13 @arrorasanjeev @_ankahi @025_batman @dayonesh @dpka102 @vinish_ind Hyderabad-based scientists solve method to cure cancer through Neem  The city scientists have decoded a phytochemical obtained from the leaves and flowers of the Neem tree, Nimbolide to help cure cancer https://t.co/nhyOIAs9ql	yes
hey you know how we were trying to cure your cancer? well instead of chemo we gave you HIV, Zika and Bird Flu. And a different, worse kind of cancer. https://t.co/pAMGUsiwG1	no
Somewhere, deep in Neymar's veins, lies the cure for cancer and such ills. Never known a man to recover from physical agony to full health so quickly. He is wasted on a football field. A touch of his hand could be saving millions of lives. Truly a godsend... #WorldCup	no
RT @BrennaSpencer: Like conservatives have said... Trump could cure cancer and the left would still be outraged	no
